text,createTime
nah ini baru bener se ennga nya ke inginan warga nya di ingat dan mudahan balik lagi bawa harapan mereka terwujud aamiin,1764938237
"maaf nih, yang hujat beliau udah ngelakuin apa ya? setidaknya dia udah mau ke lokasi bencananya, bukan cuma lewat sosial media",1765024447
jadi pejabat serba salah anj,1764938482
Sehat” pak Prabowo dan pak Gibran❤️,1764935082
jangan sampe gini,1765112467
"noh di x gibran dirujak, yg keliatan kerja aja netizen masih serba salah, apalagi yg ga kesorot sama sekali😭",1764927222
Dy sudah berusaha jadi yg terbaik tp ttp aja selalu salah d mata pembenci 🥺,1764972535
"orang kalo dah benci, apapun yg dilakuin beliau keliatan salah",1764997205
sekelas wapres aja ga pake rompi anti peluru sebelah.....,1764927915
HUAAAAAA SERBA SALAH MENDING GANTI RAKYAT AJA HAHAHAH,1764939871
"skg gw sadar.,kenapa dia BS berthn jadi wapres termuda,dia dewasa berpolitik,sabar bgt woy,dihujat org byk jwbnya wujud demokrasi,pdhl udah kebablasan",1764978128
"Dia udah berusaha semaksimal mngkin ,pliss jngan hujat lagi😩",1764949579
sdm kita emng harus diperbaiki si,1764937166
"aku bukan pendukung dia yaa gaes,
tapi please,
ini tuu hal basic.
dia nyatet pake pulpen dan kertas, biar ingat.
kalo dia nyatet di hp, ntar d kira main hp pas masyarakat mengadu.
dia berusaha memberi secercah harapan untuk masyarakat disana.
indonesia sedang berduka, jangan saling menghujat. masalah suku, agama, politik, kesampingkan dlu. ini masalah kemanusiaan.",1765080216
2026 ganti rakyat aja,1764939196
"ga ada videonya dibilang ga kerja, ada videonya dibilang pencitraan. kaya wapres sebelum kerja lebih bagus aja🫩",1764939631
d bantu salah..ga d bantu katanya ga peduli. emang bnr harus ganti rakyat,1764987656
bare minimum....,1764933929
"""mie ayam 1""",1764942555
TIM YG SLALU DUKUNG PRABOWO GIBRAN😌☝️☝️❤️❤️❤️,1764930298
tugas pak RT,1764931911
"jd sbnrnya org"" pembenci ini tuh maunya siapa presiden dan wakilnya? 🙂",1764930699
biarkan dia mencoba gaesss... dia bahkan gak akting bawa beras atau pake style model2an.. kasih ksempatan buat dia..,1764931919
2026 ganti rakyat,1764930175
tulus bgt ya mas Gibran dia mau turun kelapangan 😭 Guys disini ada yang mau gabung Freelance jadi Admin Beauty Skincare Centella engga?Lumayan WFH benefitnya,1764940251
"buat yg bilang bare minimun, LU PERNAH GA LIAT PAK MA'ARUF AMIN SEGININYA SM RAKYAT???",1764926768
"ga abis pikir sama yg suka hujat, ini kayanya harus ganti rakyat sih",1764930010
itu emang tugasnya pejabat dan pemerintah ga usah terlalu berlebihan,1764928584
baru di era pak Jokowi masyarakat mudah brtmu dgn wakil pimpinannya.tanpa jarak,1765068169
2026 ganti warga ga sih? miris ma yg hujat2,1764978522
Sebener benernya pemimpin pasti aja ada salahnya dimata rakyatnya.,1764931909
emng paling bener gantri rakyat,1764935431
pak gibran klo gini kok ganteng sii😭,1764932816
"ga bermaksud belain, tp ini yg lebih mending dikit ketimbang yg udah2",1764935065
"BUAT KALIAN YANG BILANG ""INI BARE MINUMAN"", EMANG!
TAPI KAN INI BUKAN HAL NORMAL YANG DILAKUIN PEMERINTAH KITA, JADI PLEASE LAH KALAU KALIAN LIAT HAL NORMAL KEK GINI HARGAIN JANGAN DIHUJAT!",1764936633
"liat komen disini kayanya pada kaget dapat wapres yang aktif banget, makanya pada ngehujat, orang biasanya dapat pejabat yang....",1764945382
#2026gantirakyat,1764937434
SEKELAS PRESIDEN BRO GA MAKE ANTI PELURU LAH SEBELAH ??🤣,1764932537
"ngakak netizen mah, bertindak langsung di blg bare minimum, nanti gaada tindakan dihujat juga😭😭😭😭😭",1765072406
paling cocok ganti rakyat si,1764939631
Ganti rakyat ga sih? Se kerja nyata itu masih salah,1765074932
"puan maharani ngapain ya sekarang, kangen banget guwe
pasti beliau sedih banget melihat rakyatnya kena musibah",1764931031
"emang sudah seharusnya pemerintah begini,mendengar dan menyalurkan kebutuhan rakyat
tapi bisa ga sekali aja apresiasi perbuatan baik, kalo yg cuma foto salah dan yg dateng mendengarkan rakyat juga salah ya berarti hati kalian yg bermasalah",1764928402
"Kasian nggak sihh, grgr pemerintah sebelumnya jdi pak pres sama pak wapres skrg yg kena getahnya 🥺",1764932467
buat yg ngata²in beliau...emang kalian udah bisa bantu??? sudah merasa hebat?...stop gaess jgn hujat siapapun...selagi kita belum bisa membantu🙏,1764931646
gibran sebagai wapres aja g nunjuk nunjuk,1765069358
Full effort ngene Ijeh wae dihujat😭😭,1764930425
ga nongol dicariin giliran nongol dihujat 😭😂,1764983779
"sebenernya bukan lebay gais, tapi di indonesia tuh mungkin kita jarang ngeliat para petinggi/pejabat ngelakuin hal kayak gini, jadi ketika kita liat ada pejabat yang peduli sama rakyat waw amazing nih orang beda banget dari yang lain, padahal ya itu memang tugas seorang wakil rakyat.
ya mungkin kiita tuh udah terbiasa dengan image wakil rakyat tuh ga peduli sama rakyat mereka cuma mau uang sama jabatan",1764937376
"miris bgt, di indo presiden sama wapres dihujat abis abisan",1764938859
"yg hujat tuh udah bantu seberapa banyak sih sebenernya, tolonglah ntr kalau gk keliatan salah lagi 😭",1764942892
merakyat salah menghilang juga salah emang paling bener ganti rakyat,1764929789
performative final boss,1764949311
"orang kerja salah, ga kerja juga salah heran gua ma",1764932964
kadang yg salah itu ga selalu pemerintah tau..,1764952417
"Di indonesia doang wapres di hujat padahal udah coba cari solusi mereka ngomong doang kayak udh donasi buat yang membutuhkan, kalau udah juga org yang punya harga diri pasti jaga kesopanan nya,",1764927211
awas panas,1764921960
"INDONESIA GA PERLU GANTI PRESIDEN&WAKILNYA, INDONESIA CUMA PERLU GANTI RAKYAT🙏😭",1764947727
Tim yang gapernah hujat beliau. Yang hujat udah bantu apa emang ?,1764933869
udah lah 2026 ganti warga aja,1764928580
Orang” sibuk pada turun ke lokasi untuk memberi bantuan tp netizen sibuk cari kesalahan orang yang lagi ngebantu,1764926503
punya presiden dan wapres sebaik ini masih aja dihujat,1765086208
emamg tugas dia kocak,1764926653
kaga cukup tu buku buat nulis keluhan warga,1764924311
