emoji,unicode,aliases_all
🧚,🧚,"peri_oberon_puck_titania"
🧚‍♂️,🧚‍♂️,"peri_pria_oberon_puck"
🧚‍♀️,🧚‍♀️,"peri_wanita_titania"
🧛,🧛,"vampir_drakula_mayat_hidup"
🧛‍♂️,🧛‍♂️,"vampir_pria_drakula_mayat_hidup"
🧛‍♀️,🧛‍♀️,"vampir_wanita_mayat_hidup"
🧜,🧜,"orang_duyung_pria_putri_wanita"
🧜‍♂️,🧜‍♂️,"pria_duyung_triton"
🧜‍♀️,🧜‍♀️,"putri_duyung_wanita"
🧝,🧝,"kurcaci_ajaib"
🧝‍♂️,🧝‍♂️,"kurcaci_pria_ajaib"
🧝‍♀️,🧝‍♀️,"kurcaci_wanita_ajaib"
🧞,🧞,jin
🧞‍♂️,🧞‍♂️,jin_pria
🧞‍♀️,🧞‍♀️,jin_wanita
🧟,🧟,"zombi_mayat_berjalan_hidup"
🧟‍♂️,🧟‍♂️,"zombi_pria_mayat_berjalan_hidup"
🧟‍♀️,🧟‍♀️,"zombi_wanita_mayat_berjalan_hidup"
💆,💆,"pria_dipijat_pijat_pijit_salon"
💆‍♂️,💆‍♂️,"pria_dipijat_kepalanya_kepala_laki-laki_pijat"
💆‍♀️,💆‍♀️,"wanita_dipijat_kepala_perempuan_pijat"
💇,💇,"orang_potong_rambut_cantik_salon"
💇‍♂️,💇‍♂️,"pria_potong_rambut_laki-laki"
💇‍♀️,💇‍♀️,"wanita_potong_rambut_perempuan"
🚶,🚶,"orang_berjalan_kaki_jalan"
🚶‍♂️,🚶‍♂️,"pria_berjalan_kaki_jalan_laki-laki"
🚶‍♀️,🚶‍♀️,"wanita_berjalan_kaki_jalan_perempuan"
🧍,🧍,"orang_berdiri_diri"
🧍‍♂️,🧍‍♂️,pria_berdiri
🧍‍♀️,🧍‍♀️,wanita_berdiri
🧎,🧎,"orang_berlutut_lutut"
🧎‍♂️,🧎‍♂️,pria_berlutut
🧎‍♀️,🧎‍♀️,wanita_berlutut
🧑‍🦯,🧑‍🦯,"orang_dengan_tongkat_aksesibilitas_buta"
👨‍🦯,👨‍🦯,"pria_dengan_tongkat_aksesiblitas_buta_tunanetra"
👩‍🦯,👩‍🦯,"wanita_dengan_tongkat_aksesiblitas_buta_tunanetra"
🧑‍🦼,🧑‍🦼,"orang_dengan_kursi_roda_bermotor_aksesibilitas"
👨‍🦼,👨‍🦼,"pria_dengan_kursi_roda_bermotor_aksesibilitas"
👩‍🦼,👩‍🦼,"wanita_dengan_kursi_roda_bermotor_aksesibilitas"
🧑‍🦽,🧑‍🦽,"orang_dengan_kursi_roda_manual_aksesibilitas"
👨‍🦽,👨‍🦽,"pria_dengan_kursi_roda_manual_aksesibilitas"
👩‍🦽,👩‍🦽,"wanita_dengan_kursi_roda_manual_aksesibilitas"
🏃,🏃,"orang_berlari_lari_marathon_maraton"
🏃‍♂️,🏃‍♂️,"pria_berlari_kaki_laki-laki_lari"
🏃‍♀️,🏃‍♀️,"wanita_berlari_kaki_lari_perempuan"
💃,💃,"wanita_menari_dansa_perempuan_pesta_tari"
🕺,🕺,"pria_menari_berdansa_dansa"
🕴️,🕴️,"pria_melayang_mengenakan_jas_bisnis_laki-laki"
👯,👯,"orang_dengan_telinga_kelinci_berpesta_penari"
👯‍♂️,👯‍♂️,"pria_dengan_telinga_kelinci_kostum_laki-laki_pesta_tari"
👯‍♀️,👯‍♀️,"wanita_dengan_telinga_kelinci_kostum_perempuan_pesta_tari"
🧖,🧖,"orang_di_ruangan_beruap_ruang_uap_sauna"
🧖‍♂️,🧖‍♂️,"pria_di_ruangan_beruap_ruang_uap_sauna"
🧖‍♀️,🧖‍♀️,"wanita_di_ruangan_beruap_ruang_uap_sauna"
